,Sun01Jan
44355,
,
658,
33641,
44340,
,
660,
40501,
43940,P
42779,
,
682,
35448,
42660,
,
924,
26955,i
44346,
42645,i
,
960,
33877,
44236,
44203,
,
,Tue17Jan
325,
33638,LS
38383,V
44189,V
,
345,
38368,
43479,
44186,
,
403,
36732,
44282,
,
409,
26769,i
42635,i
,
417,
30938,i
43260,i
,
433,
37240,
43934,
,
435,
39833,
44349,
,
461,
26539,t
26867,Lt
43946,
,
465,
35308,
44225,
44264,
,
600,
38379,
44343,
,
634,
37234,
44795,
,
638,
37216,
44192,
,
644,
37253,
42582,
,
648,
33866,
42262,
,
656,
32092,t
26467,Lt
,
658,
38372,
44357,
,
660,
35309,
43937,P
44816,
,
670,
37995,P
43485,P
42584,P
,
682,
40192,
42256,
,
924,
38386,
44295,
44808,
,
960,
32091,
43943,
44345,
,
,Wed18Jan
325,
37229,
43826,
44278,
,
403,
24573,i
42591,i
,
409,
25384,
44277,
,
417,
26310,i
42669,i
,
431,
37799,
42652,
,
433,
37792,
44614,
,
461,
37213,
44216,
44342,
,
465,
32107,t
42627,
42566,t
,
600,
30950,i
32110,Li
,
634,
38903,
44238,
,
638,
29445,i
45494,i
,
644,
30930,
32102,
,
648,
35306,
44809,
,
656,
28382,i
42622,i
,
658,
33642,
43829,
,
660,
36733,
43259,P
45139,
,
670,
25557,
44344,
,
682,
33879,
45145,
,
924,
33576,
43477,
43403,
,
960,
37215,
39693,
44798,
,
,Thu19Jan
325,
34097,
44351,
44340,
,
339,
30931,
44347,
,
345,
30936,LS
37222,V
44193,V
,
403,
33849,
42571,
,
409,
24857,
44619,
,
417,
29449,i
45511,i
,
433,
33639,
45669,
,
461,
38893,
39849,
44190,
,
465,
37132,
39701,
44221,
,
556,
38370,
44302,
,
600,
26870,
44806,
,
634,
37230,
43484,
,
638,
30947,i
45664,i
,
644,
37216,
44802,
,
648,
36154,
43120,
,
656,
36737,
44279,
,
658,
36727,
43833,
,
660,
36054,
43478,
43947,P
,
670,
37249,P
43938,P
44183,P
,
682,
35459,
44813,
,
924,
38900,
43481,
44310,
,
960,
39862,
43934,
44343,
,
,Fri20Jan
325,
26468,
43484,
44282,
,
345,
26461,LS
38345,V
44195,V
,
403,
33166,
44188,
,
409,
30951,i
43820,i
,
417,
33874,
44800,
,
433,
33579,
44191,
,
435,
40514,
42780,
,
461,
26770,t
44349,
42791,t
,
465,
37211,
26775,
44308,
,
600,
33153,i
45199,i
,
634,
40299,
43940,
,
638,
32112,i
42626,i
,
644,
38336,
42265,
,
648,
39840,
42310,
,
656,
20826,i
45595,i
,
658,
26769,y
42569,y
,
660,
33821,
42258,P
42263,
,
670,
38887,
44352,
,
682,
36730,
45499,
,
924,
26959,
44192,
44232,
,
960,
36752,
42779,
44614,
,
,Sat21Jan
303,
33866,
42262,
,
313,
38892,
45669,
,
325,
30947,i
43942,
42617,i
,
345,
33824,
44253,
44231,
,
403,
39157,
42790,
,
409,
29445,t
25325,Lt
,
413,
38007,
44792,
,
417,
33563,
41929,
,
433,
26454,
44350,
,
461,
28368,i
45200,i
44278,
,
465,
38383,
44189,
44338,
,
556,
33641,
44305,
,
560,
27476,
44182,
,
600,
33165,i
42618,i
,
638,
30938,y
42665,y
,
644,
37240,
44243,
,
648,
35448,
43937,
,
656,
38379,
44184,
,
658,
37234,
44616,
,
660,
35309,
42319,
45147,P
,
682,
35306,
45141,
,
924,
36738,
44619,
44230,
,
960,
27115,i
43931,
45733,i
,
,Sun22Jan
325,
26539,i
42584,
42580,i
,
339,
32109,
44236,
,
345,
33638,LS
38387,V
44416,V
,
403,
30950,i
45203,i
,
409,
37799,
43932,
,
417,
30936,t
42572,t
,
433,
37995,
44194,
,
461,
26470,
40809,
44187,
,
465,
39833,
44356,
44344,
,
600,
28382,t
42619,t
,
634,
39147,
42571,
,
638,
24573,B
33871,LB
,
644,
38368,
44277,
,
648,
37252,
44804,
,
656,
37229,
44346,
,
658,
33639,
44260,
,
660,
30952,
42660,P
44815,
,
682,
36154,
44812,
,
924,
32092,i
40784,
44799,i
,
960,
32112,i
43259,
44618,i
,
,Mon23Jan
325,
33642,
40509,
44295,
,
403,
32107,i
42602,i
,
409,
33153,i
40184,Li
,
417,
37994,
43943,
,
433,
37249,
45513,
,
461,
25384,
44418,
44205,
,
465,
38365,
44302,
44201,
,
600,
26955,t
42792,t
,
634,
30931,
43946,
,
638,
40514,
44401,
,
644,
30951,i
44317,i
,
648,
40501,
42780,
,
656,
38903,
43479,
,
658,
33155,
32102,
,
660,
33572,
43477,P
45140,
,
682,
36733,
44816,
,
924,
29437,t
44339,
42573,t
,
960,
32095,
40785,
44193,
,
,Tue24Jan
325,
26769,y
44274,
42643,y
,
345,
28382,LS
33877,V
44357,V
,
403,
29449,t
26464,Lt
,
409,
36727,
42256,
,
417,
33570,
43485,
,
435,
38900,
44190,
,
461,
36732,
40806,
44806,
,
465,
33166,
44188,
44340,
,
600,
33824,
44191,
,
634,
25557,
44225,
,
638,
26461,B
44810,B
,
644,
37792,
42646,
,
648,
33879,
45138,
,
656,
38366,
44808,
,
658,
29445,t
26869,Lt
,
660,
33866,
43932,P
43947,
,
682,
33868,
45146,
,
924,
38372,
44351,
44214,
,
960,
36151,
41929,
44195,
,
,Wed25Jan
325,
40299,
44345,
44308,
,
403,
33576,
39849,
,
409,
32091,
44310,
,
417,
26788,
44279,
,
431,
33641,
44352,
,
433,
38386,
39701,
,
461,
37243,
44268,
44267,
,
465,
30938,y
44238,
42574,y
,
600,
39862,
43484,
,
634,
31837,
44343,
,
638,
38368,
43403,
,
644,
37791,
44800,
,
648,
36054,
42263,
,
656,
28376,
44264,
,
658,
33153,i
45195,i
,
660,
35309,
42258,P
44809,
,
682,
37252,
44819,
,
924,
30950,i
42652,
45664,i
,
960,
26468,
42262,
42265,
,
,Thu26Jan
325,
38379,
43938,
44614,
,
345,
27115,LS
36733,V
44203,V
,
403,
36752,
45669,
,
409,
37994,
44616,
,
417,
30930,
44192,
,
431,
35308,
45513,
,
461,
30339,
44350,
44282,
,
465,
24573,i
32110,Li
43826,
,
600,
32107,t
26867,Lt
,
618,
26959,
44792,
,
634,
37132,
43934,
,
638,
37253,
43481,
,
644,
38893,
44795,
,
648,
33638,
44613,
,
656,
38387,
43946,
,
658,
26539,i
45511,i
,
660,
35448,
43478,P
43940,
,
682,
36154,
45147,
,
924,
32109,
42319,
44237,
,
960,
36737,
42571,
44243,
,
,Fri27Jan
325,
37995,
44344,
44305,
,
345,
20826,LS
36752,V
44291,V
,
403,
37240,
44253,
,
409,
36738,
44230,
,
417,
29449,t
42565,t
,
461,
26454,
42660,
44186,
,
465,
30936,t
43931,
42625,t
,
600,
26770,t
42566,t
,
634,
38369,
40809,
,
638,
33155,
43479,
,
644,
38345,
44820,
,
648,
28368,
44803,
,
656,
38887,
44236,
,
658,
33877,
44278,
,
660,
40501,
42627,
42256,P
,
682,
40192,
43937,
,
924,
26870,
42582,
43833,
,
960,
33874,
26775,
44347,
,
,Sat28Jan
303,
30952,
45138,
,
325,
30951,i
39849,
44226,i
,
345,
29445,t
26459,Lt
44184,
,
403,
26461,t
33159,Lt
,
